Mody lammps parameter 2023-03-11 16:35:01.436865

	74 atoms
	8 atom types
	35 angle types
	14 bond types
	68 dihedral types
	45 improper types

	85 bonds
	186 angles
	345 dihedrals
	120 impropers

	0.0 93.6506812 xlo xhi
	0.0 93.6506812 ylo yhi
	0.0 93.6506812 zlo zhi

Masses

1	12.01115	#	C
2	12.01115	#	C
3	12.01115	#	C
4	1.00797	#	H
5	1.00797	#	H
6	15.99940	#	O
7	15.99940	#	O
8	15.99940	#	O


Atoms

1	1	8	-0.5571	29.4992249592	72.1288799266	31.2523966937	#	oh
69	2	5	0.0530	50.5705594154	0.0455321053	64.0471701516	#	hc
70	2	1	-0.1060	50.2005201127	1.1517899236	65.7665375504	#	c
71	2	5	0.0530	50.2568802342	0.6561751886	66.8258457958	#	hc
72	2	5	0.0530	51.2225605514	1.5516380998	65.5714432532	#	hc
73	2	2	-0.0530	49.0809530421	2.1775348912	65.7626946168	#	c1
74	2	5	0.0530	49.3507807984	2.8217270956	64.9662241714	#	hc


Bonds

1	10	3	1	#	c1,oh
2	14	2	1	#	h,oh
3	5	3	5	#	c1,c1
4	5	3	46	#	c1,c1
5	7	3	4	#	c1,hc
6	5	5	32	#	c1,c1
7	9	5	7	#	c1,oc
8	7	5	6	#	c1,hc
9	9	8	7	#	c1,oc
10	2	10	8	#	c,c1
11	5	8	27	#	c1,c1
